tau_inf	H1
0.677	0.99
0.678	0.99
0.679	0.99
0.680	0.99
0.681	0.99
0.682	0.99
0.683	0.99
0.684	0.99
0.685	0.99
0.686	0.99
0.687	0.99
0.688	0.99
0.689	0.99
0.690	0.99
0.691	0.99
0.692	0.99
0.693	0.99
0.694	0.99
0.695	0.99
0.696	0.99
0.697	0.99
0.698	0.99
0.699	0.99
0.700   0.99
0.701	0.99
0.702	0.99
0.703	0.99
0.704	0.99
0.705	0.99
0.706	0.99
0.707	0.99
0.708	0.99
0.709	0.99
0.710	0.99
0.711	0.99
0.712	0.99
0.713	0.99
0.714	0.99
0.715	0.99
0.716	0.99
0.717	0.99
0.718	0.99
0.719	0.99
0.720	0.99
0.721	0.99
0.722	0.99
0.723	0.99
0.724	0.99
0.725	0.99
0.726	0.99
0.727	0.99
0.728	0.99
0.729	0.98
0.730	0.98
0.731	0.98
0.732	0.98
0.733	0.98
0.734	0.98
0.735	0.98
0.736	0.98
0.737	0.98
0.738	0.98
0.739	0.98
0.740	0.98
0.741	0.98
0.742	0.98
0.743	0.98
0.744	0.98
0.745	0.98
0.746	0.98
0.747	0.98
0.748	0.98
0.749	0.98
0.750	0.98
0.751	0.98
0.752	0.98
0.753	0.98
0.754	0.98
0.755	0.98
0.756	0.98
0.757	0.98
0.758	0.98
0.759	0.98
0.760	0.98
0.761	0.98
0.762	0.98
0.763	0.98
0.764	0.98
0.765	0.98
0.766	0.98
0.767	0.98
0.768	0.98
0.769	0.98
0.770	0.98
0.771	0.98
0.772	0.98
0.773	0.98
0.774	0.98
0.775	0.98
0.776	0.98
0.777	0.98
0.778	0.98
0.779	0.98
0.780	0.98
0.781	0.98
0.782	0.98
0.783	0.98
0.784	0.98
0.785	0.98
0.786	0.98
0.787	0.98
0.788	0.98
0.789	0.98
0.790	0.98
0.791	0.98
0.792	0.98
0.793	0.98
0.794	0.98
0.795	0.98
0.796	0.98
0.797	0.98
0.798	0.98
0.799	0.98
0.800	0.98
0.801	0.98
0.802	0.98
0.803	0.98
0.804	0.98
0.805	0.98
0.806	0.98
0.807	0.98
0.808	0.98
0.809	0.98
0.810	0.98
0.811	0.98
0.812	0.97
